URL	Duration	Cateogry of exercise	Intensity	Focus	Group v individual	Instructor M/F	Class M/F/A (A=both)	Provider	Instructor	Rights to use? 
https://www.youtube.com/watch?v=YJVtJMIQmkU	30	Bodyweight Abs Workout - HIIT Cardio for Abs	Medium/High	cardio/strength	Duo	F/M	-	Self	Jess Sims & Selina Watkins	
https://www.youtube.com/watch?v=Z5Xdn1P4PNc	30	Full Body Cardio Strength w warm up	Medium/High	cardio/strength	Duo	F/M	-	Self	Jess Sims & Selina Watkins	
https://www.youtube.com/watch?v=0bAOm7MhN5I	30	Strength/Core Workout w Warm-Up, Cool-Down	Medium/High	cardio/strength	Duo	F/M	-	Self	Jess Sims & Selina Watkins	
https://www.youtube.com/watch?v=JoFOfZNhCI4	20	HIIT Bodyweight Workout	High	cardio/strength	Duo	M/F	-	Self	Ryhs & Amy	
https://www.youtube.com/watch?v=5HIFBp6a6OU	20	HIIT Cardio Workout Glutes & Abs w arm up & cool down	High	cardio/strength	Duo	M/F	-	Self	Ryhs & Amy	
https://www.youtube.com/watch?v=8JpKOczCPHU	25	Full Body Cardio Workout w arm up & cool down	High	cardio/strength	Duo	M/F	-	Self	Ryhs & Amy	
https://www.youtube.com/watch?v=ml6cT4AZdqI	30	HIIT Cardio Workout w Warm Up	High	cardio/strength	Duo	F/M	-	Self	Lita Lewis & Ryhs	
https://www.youtube.com/watch?v=gMGMLAVcDkk	7	Killer Fat Burning Workout	High	cardio/strength	Instructor	M	-	Frank Medrano	Frank Medrano	
https://www.youtube.com/watch?v=nZ3O-CgxfeU	10	Shred FAT BURNING Workout	High	cardio/strength	Duo	M/F	-	Frank Medrano	Frank & Arsiney	
https://www.youtube.com/watch?v=aIdUR6Fkzy8	10	Abs	High	cardio/strength	Instructor	M	-	Frank Medrano	Frank Medrano	
https://www.youtube.com/watch?v=3ZPdQgLchok	10	Strength Training Workout For Runners	High	strength	Duo	F	-	Popsugar fitness	 & Remi	
https://youtu.be/kwkXyHjgoDM	30	Hip-Hop Tabata	High	cardio	Group	F	F	Popsugar fitness	Keaira LaShae	
https://youtu.be/CBWQGb4LyAM	30	Cardio & HIIT Workout	High	cardio/strength	Group	F	F	Popsugar fitness	Charlee Atkins	
https://www.youtube.com/watch?v=XIeCMhNWFQQ	30	Tabata Session to Burn	High	cardio/strength	Group	M	A	Popsugar fitness	Raneir Pollard	
https://www.youtube.com/watch?v=ZWk19OVon2k	30	Hip-Hop Fit Workout	High	cardio	Group	M	A	Popsugar fitness	Mike Peele	
https://www.youtube.com/watch?v=6oLg5fFe5ww	30	Cardio Kickboxing Workout	High	cardio	Group	F	F	Popsugar fitness	Eliza Shirazi	
https://www.youtube.com/watch?v=6Ea38Ns1an8	30	Island Vibes Cardio Dance & Booty Toning Workout	High	cardio	Group	F	F	Popsugar fitness	Raquel "Rocky" Horsford	
https://www.youtube.com/watch?v=7Y3KOGfmSV0	30	Dance Cardio & Barre Toning Workout	High	cardio	Group	F	F	Popsugar fitness	Lauren Arps	
https://www.youtube.com/watch?v=ab8G-UkJlqw	30	Calorie-Torching Cardio Dance and HIIT	High	cardio	Group 	F	F	Popsugar fitness	Breann Mitchell	
https://www.youtube.com/watch?v=m5MmlNf1rzU	30	Cardio Dance Workout	High	cardio	Group	F	F	Popsugar fitness	Megan Roup	
https://www.youtube.com/watch?v=ObCDRGuXGUA	30	Strength, Cardio, and Pilates Core Workout	Medium	strength	Group	F	F	Popsugar fitness	Kit Rich	
https://www.youtube.com/watch?v=xZWBE8BfHOY	30	Full-Body Sculpt For Long and Lean Muscles	Medium	strength	Group 	F	F	Popsugar fitness	Astrid Swan	
https://www.youtube.com/watch?v=IJro-Hd9wK4	27	HIIT Workout to Burn Calories and Tone Your Abs	High	cardio/strength	Group	F	F	Popsugar fitness	Anna Renderer	
https://www.youtube.com/watch?v=shjOhAMEhfA	30	Full-Body HIIT Workout to Torch Calories	High	cardio/strength	Group	F	F	Popsugar fitness	Anna Renderer	
https://www.youtube.com/watch?v=NmMRFWIokK4	30	BodyCombat-Inspired Workout With Boxing, Kung Fu, and Muay Thai	High	cardio/strength	Group	F	F	Popsugar fitness	Anna Lowery	
https://www.youtube.com/watch?v=P0Ny_fNaFEQ	30	Strong Legs and Core Workout	Medium	cardio/strength	Group	F	F	Popsugar fitness	Anna Renderer	
https://www.youtube.com/watch?v=YCqXZKaBi4g	30	Full Body Burner	Medium/High	cardio/strength	Group	F	A	Kit Rich	Kit, G & Justin	
https://www.youtube.com/watch?v=NSDi6JrDGvY	30	Metabolism Booster	Medium	cardio/strength	Instructor	F	-	Kit Rich	Kit Rich	
https://www.youtube.com/watch?v=FiiT770jAN0	30	full bodyweight routine	Medium/High	cardio/strength	Group 	F	A	Kit Rich	Kit, G & Justin	
https://www.youtube.com/watch?v=QB6TuPluX_Q	30	Full Body Low Impact Bodyweight Fusion Routine	Low	impact	Group	F	A	Kit Rich	Kit, G & Justin	
https://www.youtube.com/watch?v=ZMO_XC9w7Lw&t=1131s	30	LES MILLS GRIT Cardio workout.	High	cardio/strength	Group	F/M	A	Les Mills	Nina Dobrev & 	
https://www.youtube.com/watch?v=UsgUp3ldIys	20	HIIT Workout for Inner Thighs, Glutes	High	strength	Instructor	F	F	Group Hiit		
https://www.youtube.com/watch?v=yYQL2uNmwlo	23	Booty & Belly Weighted HIIT	High	strength	Instructor	F	F	Group Hiit		
https://www.youtube.com/watch?v=REFSXurvDTM	10	Glutes & Thighs Plyometric Toning and Cardio - HIIT	High	strength	Instructor	F	F	Group Hiit		
https://www.youtube.com/watch?v=XQ_Cd7XJvIw	24	Cardio & Abs Workout	Medium	strength	Instructor	F	F	Group Hiit		
https://www.youtube.com/watch?v=dquKB9LmKO8	15 min 	Total Core Burner Workout	Medium	strength	Instructor	F	F	Group Hiit		
https://www.youtube.com/watch?v=gid7mT-1YnY&list=PLCzr8bZECkgA6afYKSUgOibXNxH947EtH&index=2	8	BODYCOMBAT INVINCIBLE warmup for the upper and lower body	Medium/High	cardio	Group	F/M	A	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=sQCor8k1Qzw&list=PLCzr8bZECkgA6afYKSUgOibXNxH947EtH&index=3	16	BODYCOMBAT INVINCIBLE	Low/Medium	cardio	Instructor	M	M	Bodycombat invincible workouts		
https://www.youtube.com/watch?v=D4_4tPoVCvQ&list=PLCzr8bZECkgA6afYKSUgOibXNxH947EtH&index=4	17	BODYCOMBAT INVINCIBLE	Low/Medium	cardio	Instructor	M	M	Bodycombat invincible workouts		
